geoid,med_rent
47037010104,868
47037010105,718
47037010106,546
47037010201,826
47037010202,784
47037010301,620
47037010302,768
47037010303,815
47037010401,768
47037010402,630
47037010501,640
47037010502,722
47037010601,565
47037010602,622
47037010701,600
47037010702,560
47037010801,691
47037010802,695
47037010901,696
47037010903,632
47037010904,619
47037011001,577
47037011002,579
47037011100,743
47037011200,738
47037011300,566
47037011400,672
47037011500,683
47037011600,762
47037011700,626
47037011800,604
47037011900,584
47037012100,680
47037012200,830
47037012600,617
47037012701,552
47037012702,667
47037012801,593
47037012802,717
47037013000,
47037013100,719
47037013201,699
47037013202,746
47037013300,626
47037013400,971
47037013500,748
47037013601,492
47037013602,577
47037013700,566
47037013800,503
47037013900,525
47037014200,427
47037014300,547
47037014400,524
47037014800,
47037015100,786
47037015200,768
47037015300,1019
47037015401,728
47037015402,749
47037015404,689
47037015405,711
47037015501,828
47037015502,793
47037015609,884
47037015610,813
47037015612,824
47037015613,659
47037015614,737
47037015615,711
47037015617,788
47037015618,757
47037015619,838
47037015620,633
47037015622,547
47037015623,707
47037015624,782
47037015625,869
47037015626,644
47037015627,739
47037015628,733
47037015629,738
47037015630,886
47037015631,1126
47037015700,639
47037015802,610
47037015803,604
47037015804,670
47037015900,356
47037016000,488
47037016100,481
47037016200,508
47037016300,706
47037016400,883
47037016500,988
47037016600,902
47037016700,1343
47037016800,1049
47037016900,1053
47037017000,1020
47037017100,1009
47037017200,686
47037017300,592
47037017401,631
47037017402,727
47037017500,627
47037017701,1404
47037017702,879
47037017800,976
47037017901,1040
47037017902,1394
47037018000,1320
47037018101,717
47037018102,612
47037018201,1160
47037018202,1053
47037018203,1567
47037018301,749
47037018302,634
47037018401,882
47037018404,920
47037018405,864
47037018407,
47037018408,
47037018409,1140
47037018410,877
47037018500,1226
47037018601,
47037018602,2125
47037018700,1971
47037018801,1208
47037018803,1131
47037018804,1627
47037018901,547
47037018902,641
47037018904,715
47037018905,695
47037019003,697
47037019004,716
47037019005,608
47037019006,667
47037019105,662
47037019106,930
47037019108,631
47037019109,726
47037019110,774
47037019111,743
47037019112,917
47037019114,1131
47037019115,1364
47037019116,806
47037019117,1137
47037019118,721
47037019200,664
47037019300,179
47037019400,633
47037019500,1207
47037019600,740
47037980100,
47037980200,
