geoid,med_hhi
47037010103,64275
47037010104,62929
47037010105,52392
47037010106,42414
47037010201,55000
47037010202,59550
47037010301,47685
47037010302,41711
47037010303,40855
47037010401,40043
47037010402,23322
47037010501,40439
47037010502,54646
47037010601,52967
47037010602,42887
47037010701,29611
47037010702,23303
47037010801,39250
47037010802,45407
47037010901,48007
47037010903,28808
47037010904,27656
47037011001,26450
47037011002,35735
47037011100,54967
47037011200,48125
47037011300,32440
47037011400,34433
47037011500,53157
47037011600,51308
47037011700,47870
47037011800,31121
47037011900,29577
47037012100,54619
47037012200,59423
47037012600,35559
47037012701,29803
47037012702,46959
47037012801,29591
47037012802,37131
47037013000,-
47037013100,64095
47037013201,46223
47037013202,51471
47037013300,37617
47037013400,92083
47037013500,37738
47037013601,23541
47037013602,22315
47037013700,26687
47037013800,29766
47037013900,21884
47037014200,17055
47037014300,29679
47037014400,20222
47037014800,11548
47037015100,50774
47037015200,59359
47037015300,59537
47037015401,61738
47037015402,45570
47037015404,40430
47037015405,48155
47037015501,51324
47037015502,38975
47037015609,56159
47037015610,56849
47037015612,50143
47037015613,34345
47037015614,46997
47037015615,36786
47037015617,68371
47037015618,45725
47037015619,62486
47037015620,46270
47037015622,70116
47037015623,43435
47037015624,54227
47037015625,62306
47037015626,37539
47037015627,49105
47037015628,34090
47037015629,43805
47037015630,61436
47037015631,53454
47037015700,36875
47037015802,30505
47037015803,26069
47037015804,31368
47037015900,15602
47037016000,35714
47037016100,28134
47037016200,23250
47037016300,29844
47037016400,34667
47037016500,29792
47037016600,49783
47037016700,102364
47037016800,54635
47037016900,88491
47037017000,64967
47037017100,60750
47037017200,36990
47037017300,32033
47037017401,40478
47037017402,35701
47037017500,32292
47037017701,101597
47037017702,84036
47037017800,71154
47037017901,96703
47037017902,77241
47037018000,83958
47037018101,37521
47037018102,73536
47037018201,88810
47037018202,63338
47037018203,119531
47037018301,57413
47037018302,85909
47037018401,52926
47037018404,56105
47037018405,91458
47037018407,91490
47037018408,114044
47037018409,68611
47037018410,47261
47037018500,131603
47037018601,163947
47037018602,185089
47037018700,147829
47037018801,85092
47037018803,64545
47037018804,102117
47037018901,31306
47037018902,56875
47037018904,34632
47037018905,40137
47037019003,29653
47037019004,32014
47037019005,23571
47037019006,35492
47037019105,35332
47037019106,51414
47037019108,33194
47037019109,43821
47037019110,47204
47037019111,43836
47037019112,57349
47037019114,78488
47037019115,107500
47037019116,50908
47037019117,69479
47037019118,40016
47037019200,44673
47037019300,10094
47037019400,48523
47037019500,53306
47037019600,43237
47037980100,-
47037980200,-
