geoid,total_rental_units,for_rent,rent_pc
47037010101,119,0,0
47037010102,146,0,0
47037010200,71,0,0
47037010301,76,0,0
47037010302,377,232,61.53846154
47037010401,232,109,46.98275862
47037010402,261,233,89.27203065
47037010501,263,41,15.58935361
47037010502,221,20,9.049773756
47037010600,371,129,34.77088949
47037010701,362,124,34.25414365
47037010702,400,292,73
47037010801,174,135,77.5862069
47037010802,120,52,43.33333333
47037010901,161,130,80.74534161
47037010903,175,137,78.28571429
47037010904,135,96,71.11111111
47037011001,251,153,60.9561753
47037011002,91,62,68.13186813
47037011100,138,8,5.797101449
47037011200,147,56,38.0952381
47037011300,197,88,44.67005076
47037011400,408,148,36.2745098
47037011500,151,51,33.77483444
47037011600,142,64,45.07042254
47037011700,609,187,30.70607553
47037011800,216,113,52.31481481
47037011900,161,52,32.29813665
47037012000,78,55,70.51282051
47037012100,0,0,
47037012200,51,0,0
47037012300,91,45,49.45054945
47037012400,178,83,46.62921348
47037012500,0,0,
47037012600,180,0,0
47037012701,237,81,34.17721519
47037012702,136,31,22.79411765
47037012801,158,0,0
47037012802,226,18,7.96460177
47037013000,0,0,
47037013100,77,48,62.33766234
47037013200,181,62,34.25414365
47037013300,213,142,66.66666667
47037013400,210,54,25.71428571
47037013500,131,79,60.30534351
47037013600,188,76,40.42553191
47037013700,205,71,34.63414634
47037013800,111,50,45.04504505
47037013900,163,53,32.51533742
47037014000,197,56,28.42639594
47037014100,133,54,40.60150376
47037014200,196,113,57.65306122
47037014300,151,64,42.38410596
47037014400,122,0,0
47037014500,120,24,20
47037014600,291,188,64.604811
47037014700,150,104,69.33333333
47037014800,151,71,47.01986755
47037014900,0,0,
47037015000,245,159,64.89795918
47037015100,45,0,0
47037015200,96,31,32.29166667
47037015300,128,0,0
47037015401,145,0,0
47037015402,136,89,65.44117647
47037015404,166,103,62.04819277
47037015405,119,0,0
47037015501,111,0,0
47037015502,89,89,100
47037015608,398,139,34.92462312
47037015609,245,173,70.6122449
47037015610,244,210,86.06557377
47037015611,401,156,38.90274314
47037015612,191,70,36.64921466
47037015613,136,92,67.64705882
47037015614,115,0,0
47037015615,117,40,34.18803419
47037015616,443,281,63.43115124
47037015617,51,9,17.64705882
47037015618,227,63,27.75330396
47037015619,77,0,0
47037015620,17,17,100
47037015621,705,377,53.4751773
47037015700,48,22,45.83333333
47037015801,517,393,76.01547389
47037015802,330,244,73.93939394
47037015900,225,106,47.11111111
47037016000,129,56,43.41085271
47037016100,107,92,85.98130841
47037016200,165,18,10.90909091
47037016300,118,70,59.3220339
47037016400,74,45,60.81081081
47037016500,55,11,20
47037016600,275,129,46.90909091
47037016700,158,43,27.21518987
47037016800,298,43,14.4295302
47037016900,163,0,0
47037017000,169,52,30.76923077
47037017100,36,0,0
47037017200,38,7,18.42105263
47037017300,132,82,62.12121212
47037017401,143,85,59.44055944
47037017402,279,243,87.09677419
47037017500,121,38,31.40495868
47037017600,0,0,
47037017700,122,47,38.52459016
47037017800,356,163,45.78651685
47037017901,363,183,50.41322314
47037017902,158,36,22.78481013
47037018000,321,40,12.46105919
47037018101,296,266,89.86486486
47037018102,174,69,39.65517241
47037018201,48,0,0
47037018202,395,176,44.55696203
47037018203,26,0,0
47037018300,298,133,44.63087248
47037018401,222,130,58.55855856
47037018404,120,63,52.5
47037018405,38,0,0
47037018406,235,38,16.17021277
47037018407,72,0,0
47037018408,0,0,
47037018500,90,0,0
47037018601,26,0,0
47037018602,126,0,0
47037018700,32,0,0
47037018801,99,44,44.44444444
47037018802,251,38,15.13944223
47037018901,116,116,100
47037018902,77,0,0
47037018903,471,271,57.53715499
47037019001,575,393,68.34782609
47037019003,310,217,70
47037019004,259,134,51.73745174
47037019105,346,295,85.26011561
47037019106,224,148,66.07142857
47037019107,260,219,84.23076923
47037019108,133,95,71.42857143
47037019109,77,23,29.87012987
47037019110,122,59,48.36065574
47037019111,112,78,69.64285714
47037019112,65,0,0
47037019113,261,261,100
47037019114,108,0,0
